frequencies;compliance;uncertainty;phase
0.001;1.3858e-11;0;180
0.002;1.6425e-11;0;180
0.003;1.9015e-11;0;180
0.004;2.1669e-11;0;180
0.005;2.4412e-11;0;180
0.006;2.7262e-11;0;180
0.007;3.0236e-11;0;180
0.008;3.3348e-11;0;180
0.009;3.6609e-11;0;180
0.01;4.0028e-11;0;180
0.011;4.3602e-11;0;180
0.012;4.7316e-11;0;180
0.013;5.1137e-11;0;180
0.014;5.5011e-11;0;180
0.015;5.8871e-11;0;180
0.016;6.2645e-11;0;180
0.017;6.6266e-11;0;180
0.018;6.9686e-11;0;180
0.019;7.2867e-11;0;180
0.02;7.5786e-11;0;180
0.021;7.8427e-11;0;180
0.022;8.0777e-11;0;180
0.023;8.2832e-11;0;180
0.024;8.4593e-11;0;180
0.025;8.6071e-11;0;180
0.026;8.7283e-11;0;180
0.027;8.8255e-11;0;180
0.028;8.9016e-11;0;180
0.029;8.9597e-11;0;180
0.03;9.0031e-11;0;180
0.031;9.0347e-11;0;180
0.032;9.0573e-11;0;180
0.033;9.073e-11;0;180
0.034;9.0836e-11;0;180
0.035;9.0907e-11;0;180
0.036;9.0952e-11;0;180
0.037;9.0981e-11;0;180
0.038;9.0998e-11;0;180
0.039;9.1008e-11;0;180
0.04;9.1014e-11;0;180
0.041;9.1016e-11;0;180
0.042;9.1017e-11;0;180
0.043;9.1017e-11;0;180
0.044;9.1016e-11;0;180
0.045;9.1015e-11;0;180
0.046;9.1014e-11;0;180
0.047;9.1013e-11;0;180
0.048;9.1012e-11;0;180
0.049;9.1011e-11;0;180
0.05;9.101e-11;0;180
0.051;9.1009e-11;0;180
0.052;9.1008e-11;0;180
0.053;9.1007e-11;0;180
0.054;9.1006e-11;0;180
0.055;9.1005e-11;0;180
0.056;9.1004e-11;0;180
0.057;9.1004e-11;0;180
0.058;9.1003e-11;0;180
0.059;9.1002e-11;0;180
0.06;9.1002e-11;0;180
0.061;9.1001e-11;0;180
0.062;9.1001e-11;0;180
0.063;9.1e-11;0;180
0.064;9.1e-11;0;180
0.065;9.0999e-11;0;180
0.066;9.0999e-11;0;180
0.067;9.0998e-11;0;180
0.068;9.0998e-11;0;180
0.069;9.0997e-11;0;180
0.07;9.0997e-11;0;180
