time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2012-10-01T22:21:46.020Z,39.808,143.099,15,6.1,mww,579,34.1,,0.82,us,usp000jtc6,2015-06-30T16:59:04.001Z,"off the east coast of Honshu, Japan",earthquake,,,,,reviewed,us,us
2012-10-08T11:43:31.420Z,-4.472,129.129,10,6.1,mww,493,14.3,,0.91,us,usp000jtqw,2015-06-30T16:59:04.004Z,"Banda Sea",earthquake,,,,,reviewed,us,us
2012-10-09T12:32:09.770Z,-60.326,153.699,10,6.6,mww,131,64.7,,1.22,us,usp000jtsk,2014-11-07T01:49:04.143Z,"west of Macquarie Island",earthquake,,,,,reviewed,us,us
2012-10-12T00:31:28.270Z,-4.892,134.03,13,6.6,mww,291,17.7,,0.98,us,usp000jtvw,2015-06-30T16:59:04.005Z,"near the south coast of Papua, Indonesia",earthquake,,,,,reviewed,us,us
2012-10-17T04:42:30.400Z,4.232,124.52,326,6,mww,513,19.5,,0.99,us,usp000ju30,2015-06-30T16:59:04.007Z,"Celebes Sea",earthquake,,3.4,,,reviewed,us,us
2012-10-20T23:00:32.450Z,-13.552,166.564,36,6.2,mww,392,18.6,,1.18,us,usp000ju7q,2015-06-30T16:59:04.008Z,"Vanuatu",earthquake,,,,,reviewed,us,us
2012-10-24T00:45:32.990Z,10.086,-85.298,17,6.5,mww,691,34.4,,0.85,us,usp000jucg,2015-06-30T16:59:04.009Z,"Costa Rica",earthquake,,,,,reviewed,us,us
2012-10-28T03:04:08.820Z,52.788,-132.101,14,7.8,mww,807,42.7,,0.99,us,usp000juhz,2015-08-11T15:55:57.649Z,"Haida Gwaii, Canada",earthquake,,,,,reviewed,us,us
2012-10-28T18:54:20.830Z,52.674,-132.602,9,6.3,mww,399,70.8,,1.14,us,usp000junu,2015-06-30T16:59:04.011Z,"Haida Gwaii, Canada",earthquake,,,,,reviewed,us,us
2012-10-30T02:49:02.270Z,52.365,-131.902,9,6.2,mww,579,42.8,,1.13,us,usp000jus5,2015-06-30T16:59:04.011Z,"Haida Gwaii, Canada",earthquake,,,,,reviewed,us,us
2012-11-02T18:17:32.730Z,9.219,126.161,37,6.1,mww,527,11.5,,1.04,us,usp000juy1,2015-06-30T16:59:04.013Z,"Mindanao, Philippines",earthquake,,,,,reviewed,us,us
2012-11-07T16:35:46.930Z,13.988,-91.895,24,7.4,mww,751,25.5,,1.27,us,usp000jv5f,2015-06-30T16:59:04.013Z,"offshore Guatemala",earthquake,,,,,reviewed,us,us
2012-11-08T02:01:50.630Z,49.231,-128.477,13.7,6.1,mww,613,101,,1.17,us,usp000jv6k,2015-06-30T16:59:04.014Z,"Vancouver Island, Canada region",earthquake,,3.3,,,reviewed,us,us
2012-11-10T14:57:50.740Z,-8.866,-75.071,129,6,mww,524,23.3,,0.8,us,usp000jvb0,2015-06-30T16:59:04.015Z,"central Peru",earthquake,,,,,reviewed,us,us
2012-11-11T01:12:38.870Z,23.005,95.885,13.7,6.8,mww,391,13.7,,1.05,us,usp000jvbq,2015-06-30T16:59:04.016Z,"Myanmar",earthquake,,3.7,,,reviewed,us,us
